meeting_no,meeting_date,monitoring_index,monitoring_comment
2,2020-07-15,4,〇検査の陽性率は、3週連続で増加している。検査数も前週に比べて増加している。〇PCR検査の陽性率は、検査体制の指標としてモニタリングしている。検査数が増加したのにも関わらず、陽性率が上昇しているのは、新規陽性者数の増加と、陽性率の高い特定の地域や対象に対するPCR検査等の受診を積極的に勧めている影響であると思われる。〇陽性率の増加を踏まえると、検査体制の強化が求められる。
2,2020-07-15,5,〇東京ルールの適用件数は、当初は1日20件台で推移していたが、先週後半に増加の傾向が認められている。今後の推移を注視すべきである。〇第一波(3月から緊急事態宣言解除まで)では、疑い患者による東京ルールの適用件数が増加したため、6月30日から、新型コロナ疑い救急患者の東京ルールを開始した。
2,2020-07-15,6,"〇入院患者数は、先週と比べ約2倍に増加しており、レベル1(1,000床)で確保した病床では、対応できない状況にある。7月7日に中等症は、レベル2(2,700床)、重症はレベル1(100床)の病床確保を医療機関に依頼したものの、稼働できる病床の準備には、人員確保を含め2週間程度かかることから、医療機関の体制整備が未だ整っていない。〇入院調整本部への保健所からの入院調整依頼件数は、先週と比べ3倍になり、1件あたりの受け入れ先を探す架電回数は、1.8回となっている。〇現在、無症状の陽性者が18%程度を占めている。早急かつ大規模な宿泊療養施設の確保が必要である。〇このまま新規陽性患者数が増え続ければ、新型コロナウイルス感染症患者のための医療と、通常の医療の両立は極めて難しくなる。また、無症状・軽症者を全て医療機関、現在確保している宿泊療養施設で受け入れることは困難であり、自宅療養者数の増加が懸念される。"
2,2020-07-15,7,〇重症患者数は横ばいで推移しているが、重症化リスクの高い年齢層の患者発生の地域的な広がりがみられる。〇第一波では、入院患者数の増加から約一週間後に、重症患者数が増加し、ピーク時は、105人であった。その際、救急医療機関は、予定手術や救急の受け入れを大幅に制限せざるを得なかった。このことから、今後の推移に警戒が必要である。〇特に重症患者数の増加は、新型コロナウイルス感染症患者のための医療だけでなく、通常の医療提供体制を圧迫することとなる。〇以上を踏まえて、重症患者への対応の強化を準備する必要がある。
3,2020-07-22,1,〇新規陽性者数は先週より増加し、緊急事態宣言下での最大値を超えている。○厚生労働省の「新たな患者推計を踏まえた医療提供体制の再構築」における、感染拡大防止のための社会への協力要請(自粛要請等)が必要であるとされている、患者数が人口十万人あたり2.5人/週(東京都で換算すると50人)の4倍を超える数値となっている。〇第一波(3月1日から5月25日の緊急事態宣言解除までと設定)では、年齢構成別は10歳未満1.3%、10代1.6%、20代17.8%、30代17.8%、40代15.9%、50代15.5%、60代10.4%、70代9.6%、80代6.7%、90代3.4%、100歳以上0.1%であった。〇7月14日から7月20日までの報告では、10歳未満1.8%、10代2.5%、20代45.5%、30代21.7%、40代12.9%、50代7.1%、60代3.9%、70代2.3%、80代1.6%、90代0.7%であった。〇前週に比較して40代以上の全体に占める割合が28.5%と増加し、中高年層に感染が広がっている。〇感染経路は接待を伴う飲食店等だけでなく、施設内感染、同居、職場、会食、劇場等、多岐に渡っている。高齢者への家族内感染も見られる。〇7月14日から7月20日までの届出保健所別陽性者数を見ると、新宿区、世田谷区、足立区、中野区、港区ほか、隣接する渋谷区、文京区、および多摩地区にも広がっている。60代以上の新規陽性者はほぼ都内全域で発生している。〇介護老人保健施設、デイケア施設、幼稚園、保育園等での感染が見られており、引き続き、施設内における感染防止対策の徹底が必要である。
3,2020-07-22,2,〇#7119は、感染拡大の早期予兆の指標の1つとして、モニタリングしている。第一波(3月1日から5月25日の緊急事態宣言解除までと設定)では、患者の急速な増加の前に#7119における発熱等の相談件数が増加した。〇#7119の7日間平均は先週と比べ横ばいである。
3,2020-07-22,3,〇接触歴等不明者数は7日間平均で122名となり、緊急事態宣言下での最大値とほぼ同数となった。〇7月21日時点の新規陽性者における接触歴等不明者の増加比は、約150%となり、先週よりも減少したものの、高い数値となっている。○接触歴不明率の増加比がこのまま4週間継続すると接触歴等不明の新規陽性者が約5倍(約610人/日)程度発生する。さらに4週継続すると接触歴等不明の新規陽性者数は、現在の約25倍になる。
3,2020-07-22,4,〇検査人数は、前週に比べて増加し、陽性率は緩やかに増加している。〇PCR検査の陽性率は、検査体制の指標としてモニタリングしている。検査数が増加したのにも関わらず、陽性率の増加が緩やかなのは、新規陽性者数の増加と、陽性率の高い特定の地域や対象に対するPCR検査等の受診を積極的に勧めている影響であると思われる。〇新規陽性者数等の増加を踏まえると、引き続き検査体制の強化が求められる。
3,2020-07-22,5,〇東京ルールの適用件数は、当初は1日20件台で推移していたが、先週から7日間平均30件前後で推移している。今後の推移を注視すべきである。〇第一波(3月1日から5月25日の緊急事態宣言解除までと設定)では、疑い患者による東京ルールの適用件数が増加したため、6月30日から、新型コロナ疑い救急患者の東京ルールを開始した。
3,2020-07-22,6,"〇入院患者数は、先週と比べ約1.4倍に増加してる。○7月7日の都の依頼に基づき、病院は、中等症は、レベル2(2,700床)、重症はレベル1(100床)の病床の準備を進めている。〇保健所から入院調整本部への入院調整依頼件数は、1日あたり約100件と先週の2倍に増え、1件あたりの受け入れ先を探す架電回数は、7月19日は2.08回となっている。〇7月14日から7月20日までの陽性者1,533人のうち、無症状の陽性者が15%程度を占めている。引き続き、早急かつ大規模な宿泊療養施設の確保が必要である。〇新型コロナウイルス感染症の患者の入退院は、手続き、感染防御対策、検査、調整、消毒など、通常の患者より多くの人手、労力と時間が必要であり、病院ごとに当日入院できる患者の数には限りがある。○救命救急医療やがん医療などの通常の医療と新型コロナウイルス感染症患者のための医療を両立することが重要であり、無制限に無症状・軽症の新型コロナウイルス感染症患者のための病床を確保することはできない。〇病床の稼働には、人員確保、患者の移動、感染防御対策の拡充を含め2週間程度要することから、今後の新規陽性者数の推移を注視しながら、早めの準備が必要である。"
3,2020-07-22,7,〇重症患者数は倍増し、重症化リスクの高い高年齢層のほか、40代、50代の重症者が発生している。今後の推移に警戒が必要である。〇第一波(3月1日から5月25日の緊急事態宣言解除までと設定)では、ピーク時に医療機関は、予定手術や救急の受け入れを大幅に制限せざるを得なかった。特に重症患者数の増加は、新型コロナウイルス感染症患者のための医療だけでなく、通常の医療提供体制を圧迫することとなる。〇今後の重症例の急増に備え、搬送体制や病院の受け入れ体制などの強化を早急に進める必要がある。
4,2020-07-30,1,"〇新規陽性者数は4日で1,000人を超えるペースで増加しており、前週との比較でも増加比約110%と減少の兆しは見られない。緊急事態宣言下での最大値を大幅に超えている。〇7月21日から7月27日までの報告では、10歳未満1.5%、10代3.0%、20代38.4%、30代24.5%、40代14.2%、50代8.9%、60代4.0%、70代3.5%、80代1.6%、90代0.3%であり、全年齢層に感染が拡大しつつある。〇40代、50代の全体に占める割合が23.1%と前週に比べて増加し、60代以上の年齢層にも感染が拡大している。〇感染経路は接待を伴う飲食店等だけでなく、施設内感染、同居、職場、会食、イベント参加等、多岐に渡っている。これらは、無症状や症状の乏しい感染者の行動に影響を受けている可能性がある。〇介護老人保健施設、デイケア施設、病院等、重症化リスクの高い施設において、無症状や症状の乏しい職員を発端とした感染が見られており、引き続き、施設内における感染防止対策の徹底と検査体制の拡充が必要である。〇濃厚接触者に占める感染経路が会食である人の割合は、7月21日7.7%から7月28日22.2%へと増加している。〇飲食はマスクを外した状態で行われ、人と人が密に接触するような環境で会話を伴う飲食が行われると、感染のリスクが高まる。濃厚接触者に占める感染経路が会食である人の割合が増加しているのは、飲み会や宴会などの、複数人で飲食をする機会が増えているためと考えられる。したがって、このような環境を避けることが新規陽性者数の減少につながる。〇また、週単位でみると、同居する人からの感染が増加しており、7月22日から28日の7日間平均では11.8%と接待を伴う飲食店による感染の9.7%を上回っている。〇7月21日から7月27日までの届出保健所別陽性者数を見ると、最多の新宿区が14.1%を占めるが、島しょを除く都内全域に広がって新規陽性者が発生している。"
4,2020-07-30,2,〇#7119は、感染拡大の早期予兆の指標の1つとして、モニタリングしている。第一波(3月1日から5月25日の緊急事態宣言解除までと設定)では、患者の急速な増加の前に#7119における発熱等の相談件数が増加した。〇#7119の7日間平均は先週と比べ約1.5倍に急増しており、新規陽性者数の増加に注視する必要がある。
4,2020-07-30,3,〇接触歴等不明者数は7日間平均で154名となり、2週連続で緊急事態宣言下での最大値を超えている。〇7月29日時点の新規陽性者における接触歴等不明者の増加比は、約120%となり、先週よりも減少したものの、高い数値となっている。○接触歴不明率の増加比がこのまま4週間継続すると接触歴等不明の新規陽性者が約2.1倍(約323人/日)程度発生する。さらに4週継続すると接触歴等不明の新規陽性者数は、現在の約4.3倍(約662人/日)になる。
4,2020-07-30,4,〇陽性率は横這いである。〇今週は、休日の影響を受けて、7日間平均の検査数は減少している。〇PCR検査の陽性率は、検査体制の指標としてモニタリングしている。迅速かつ広くPCR検査等を実施し、早期診断することは、より早くからの療養を促すことができ、重症化予防と感染拡大防止の双方に効果的と考える。〇陽性率が6%を超えていることを踏まえると、十分なPCR検査等を行うためには、引き続き検査体制の強化が求められる。
4,2020-07-30,5,〇東京ルールの適用件数は、増加傾向にあり、7月22日以降、40件から50件前後で推移している。また、7日間平均の件数も、先週と比べ約1.5倍に増加している。
4,2020-07-30,6,"○7月7日の都の要請に基づき、病院は、中等症はレベル2(2,700床)、重症はレベル1(100床)の病床の準備を進めている。〇新型コロナウイルス感染症の患者の入退院は、手続き、感染防御対策、検査、調整、消毒など、通常の患者より多くの人手、労力と時間が必要であり、病院ごとに当日入院できる患者の数には限りがある。陽性者以外にも、陽性者と同様の感染防御対策と個室での管理が必要な新型コロナウイルス感染症と疑われる患者を、1日当たり、都内全域で100人から200人受け入れている。確保病床数イコール当日入院できる患者数ではない。〇都内全域で1日当たりの新規入院患者数が100人を超えることがあり、医療機関への負担が深刻である。○救命救急医療やがん医療などの通常の医療と新型コロナウイルス感染症患者のための医療を両立することが重要であり、無制限に無症状・軽症の新型コロナウイルス感染症患者のための病床を確保することはできない。〇病床の稼働には、人員確保、患者の移動、感染防御対策の拡充を含め2週間程度要することから、今後の新規陽性者数の推移を注視しながら、早めの準備が必要である。〇保健所から入院調整本部への調整依頼件数は、1日100件を超え、特に、中等症患者に関する依頼件数が増加しており、保健所と入院調整本部による入院調整が難航している。〇7月21日から7月27日までの陽性者1,766人のうち、無症状の陽性者が約16%程度を占めている。宿泊療養施設を増やしているが、運営にあたる医師等は、通常の医療現場から人員を確保しているため、充足に苦労している。〇感染拡大防止、医療提供体制の確保、宿泊療養施設の確保とともに、ITを活用した健康観察や、食事、日用品の宅配などを活用した安全な自宅療養を総合的に検討すべき時期に来ている。〇第一波(3月1日から5月25日の緊急事態宣言解除までと設定)と異なり、1日当たりの新規陽性患者数の漸増が長期間継続して収束の兆しが見えない中、医療従事者の緊張は続いている。"
4,2020-07-30,7,〇重症患者数は、重症化リスクの高い中高年層を中心に増加し続けている。〇第一波(3月1日から5月25日の緊急事態宣言解除までと設定)では、ピーク時に医療機関は、予定手術や救急の受け入れを大幅に制限せざるを得なかった。特に重症患者数の増加は、新型コロナウイルス感染症患者のための医療だけでなく、それ以外の疾患の重症患者に必要な集中治療の提供体制を圧迫することとなる。〇重症患者数の増加は新規陽性者数の増加からしばらく遅れて生じるので、増加の始まりは急速な感染拡大の予兆と捉えるべきである。〇重症患者の救命のためには集中治療室等の病床確保が不可欠である。重症患者においては、病床の占有期間が長期化することを念頭に置いた病床確保の取組が必要である。
5,2020-08-06,1,"〇新規陽性者数は3日間で1,000人を超えるペースで増加しており、前週との比較でも増加比約134%と増加の速度が上がっている。8月1日には、新規陽性者数が472人と過去最高の報告数となった。〇7月28日から8月3日までの報告では、10歳未満1.1%、10代2.7%、20代43.2%、30代24.0%、40代12.6%、50代8.0%、60代4.3%、70代2.3%、80代1.3%、90代0.5%であり、全年齢層に感染が拡大しつつある。〇40歳以上の陽性者数が575人から685人に増加しており、今後注意する必要がある。〇7月28日から8月3日までの感染経路は、全世代合計で、同居する人からの感染が26.0%と最も多く、次いで接待を伴う飲食店等19.3%、職場17.9%、会食13.8%の順である。〇感染経路が多岐にわたっているのは、無症状や症状の乏しい感染者の行動に影響を受けている可能性がある。〇年代別で見ると、7月28日から8月3日までにおける感染経路は、20代及び30代は、接待を伴う飲食店等による感染が24.1%と最も多く、次いで職場での感染が20.0%と多い。40代及び50代は同居する人からの感染が33.5%と最も多く、次いで接待を伴う飲食店等による感染が19.3%と多い。60代は同居する人からの感染が40.5%と最も多く、次いで会食での感染が16.7%と多い。70代以上は同居する人からの感染が51.0%と最も多く、次いで施設での感染が35.3%と多い。〇また、7月1日から31日の累計では、80代以上の約2/3が施設内で感染している。〇濃厚接触者に占める感染経路が会食である人の割合は、8月4日は20.0%であった。〇特別養護老人ホーム、介護老人保健施設、デイケア施設、訪問看護、病院等、重症化リスクの高い施設において、無症状や症状の乏しい職員を発端とした感染が見られており、引き続き、医療・介護施設内と業務における感染防止対策の徹底と検査体制の拡充が必要である。〇少人数であっても、人と人が、密に接触する環境で、マスクを外して、会話をしながら飲食を行うと、感染のリスクが高まる。このような環境を避けることが新規陽性者の発生の減少につながる。○グループ旅行に陽性者が含まれていて同行者等に感染が広がる事例が複数発生しており、7月後半より増加傾向にある。〇7月28日から8月3日までの届出保健所別陽性者数を見ると、最多の新宿区が13.9%を占めるが、島しょを除く都内全域に広がって新規陽性者が発生している。"
5,2020-08-06,2,〇#7119は、感染拡大の早期予兆の指標の1つとして、モニタリングしている。第一波(3月1日から5月25日の緊急事態宣言解除までと設定)では、患者の急速な増加の前に#7119における発熱等の相談件数が増加した。〇#7119の7日間平均は先週と比べ減少した。
5,2020-08-06,3,"〇接触歴等不明者数は7日間平均で約210名となり、急増している。○接触歴等不明の新規陽性者が増加しており、接触歴を調査する保健所への支援が必要である。〇8月4日時点の新規陽性者における接触歴等不明者の増加比は、先週より上昇し、約140%となり、高い数値となっている。○接触歴不明率の増加比がこのまま4週間継続すると接触歴等不明の新規陽性者が約4倍(約840人/日)程度発生する。さらに4週継続すると接触歴等不明の新規陽性者数は、現在の約16倍(約3,360人/日)になる。"
5,2020-08-06,4,〇PCR検査の陽性率は、検査体制の指標としてモニタリングしている。迅速かつ広くPCR検査等を実施することは、感染拡大防止と重症化予防の双方に効果的と考える。〇7日間平均の検査数が先週に比べて約1.3倍に増加したにも関わらず、陽性率は先週に比べ増加しており、都内全域で感染が拡大している状況が危惧される。〇陽性率が6.9%に増加したことを踏まえると、十分なPCR検査等を行うためには、引き続き検査体制の強化が求められる。
5,2020-08-06,5,〇東京ルールの適用件数は、横ばいであり、7月29日以降、40件前後で推移している。また、7日間平均の件数も、横ばいである。
5,2020-08-06,6,"〇第一波(3月1日から5月25日の緊急事態宣言解除までと設定)と異なり、1日当たりの新規陽性患者数の漸増が長期間継続して収束の兆しが見えない中、医療従事者の緊張は続いている。○7月26日から8月1日の新規入院患者数が688人、退院者数が364人となっており、先週に比べ、重症化リスクのある中高年者や、中等症の入院患者が増加しつつある。〇新型コロナウイルス感染症の患者の入院と退院には共に、手続き、感染防御対策、検査、調整、消毒など、通常の患者より多くの人手、労力と時間が必要である。病院ごとに当日入院できる患者の数には限りがある。確保病床数イコール当日入院できる患者数ではない。〇短期間で通常の患者より煩雑な入院と退院の作業が繰り返されることも、医療機関の負担の要因となっている。〇また、陽性者以外にも、陽性者と同様の感染防御対策と個室での管理が必要な新型コロナウイルス感染症と疑われる患者を、1日当たり、都内全域で約100人から200人受け入れている。〇病床の稼働には、人員確保、患者の移動、感染防御対策の拡充を含め2週間程度要する。新規陽性者数の急増を踏まえ、救命救急医療やがん医療などの通常の医療も維持できるよう配慮しながら、さらに病床確保を進める必要がある。〇7月29日から8月4日までの陽性者2,411人のうち、無症状の陽性者が13.5%を占めている。宿泊療養施設を増やしているが、運営にあたる医師等は、通常の医療現場から人員を確保しているため、充足に苦労している。〇感染拡大防止、医療提供体制の確保、宿泊療養施設の確保とともに、安全な自宅療養のための環境整備を早急に進めなければならないと考える。〇そのため、検査陽性で、重症化リスク者に該当せず、入院が必要でないと医師が判断した場合、宿泊療養・自宅療養の対象となる者の要件を定め、統一した運用を図る必要がある。〇自宅療養にあたっては、配食サービス、地域医療が療養を支援する体制などの環境を整備するとともに、ITを活用した健康観察システムの導入など、保健所業務を支援する必要がある。〇保健所から入院調整本部への調整依頼件数は、1日150件を超える日もあり、特に、中等症患者に関する依頼件数が増加しており、保健所と入院調整本部による入院調整が難航している。〇また、調整の末、入院先医療機関が決定した後に、症状の改善や患者の希望でキャンセルする事例が1割程度発生している。"
5,2020-08-06,7,〇重症患者数は、その時点で人工呼吸器又はECMOを使用している患者数であり、数は一週間前とほぼ同数であるが、傾向としては一度減少した後に再び増加している。〇第一波(3月1日から5月25日の緊急事態宣言解除までと設定)では、ピーク時に医療機関は、予定手術や救急の受け入れを大幅に制限せざるを得なかった。特に重症患者数の増加は、新型コロナウイルス感染症患者のための医療だけでなく、それ以外の疾患の重症患者に必要な集中治療の提供体制を圧迫することとなる。〇第一波では、新規陽性者数の増加から約14日遅れて重症患者数が増加したので、引き続き警戒が必要である。〇重症患者の救命のためには集中治療室等の病床確保が不可欠である。重症患者においては、病床の占有期間が長期化することを念頭に置いた病床確保の取組が必要である。
6,2020-08-13,1,"(1) 国の新型コロナウイルス感染症対策分科会(第 5 回)(8 月 7 日)で示した指標及び目安(以下、「国の指標及び目安」という。)における、8 月 4日から 8 月 10 日の感染の状況を示す新規報告数は、人口 10 万人あたり、週 16.9 人となっており、国のステージIIIの指標 15 人を超える数値となっている。(ステージIIIとは、感染者の急増及び医療提供体制における大きな支障の発生を避けるための対応が必要な段階)(2) 新規陽性者数は 3 日間で 1,000 人を超えるペースで推移しており、前週との比較では増加比 99.3%とほぼ横ばいである。(3) 8 月 4 日から 8 月 10 日までの報告では、10 歳未満 1.6%、10 代 3.7%、20 代 38.3%、30 代 24.8%、40 代 13.2%、50 代 8.6%、60 代 6.5%、70代 3.4%、80 代 1.3%、90 代 0.6%であり、全年齢層に感染が拡大している。40 歳以上の陽性者数が 685 人から 742 人に増加しており、今後の推移に注意する必要がある。(4) 8 月 4 日から 8 月 10 日までの濃厚接触者に占める感染経路が判明している人の割合は、全世代合計で、同居する人からの感染が増加し 29.1%と最も多く、次いで会食も増加して 16.7%となり、職場 16.0%、接待を伴う飲食店等 9.4%、施設 6.9%の順である。接待を伴う飲食店等の割合は前週より減少した。(5) 感染経路が多岐にわたっているのは、無症状や症状の乏しい感染者の行動に影響を受けている可能性がある。(6) 年代別で見ると、8 月 4 日から 8 月 10 日までにおける濃厚接触者に占める感染経路が判明している人の割合は、20 代及び 30 代は、会食による感染が 20.4%と最も多く、次いで職場での感染が 20.0%であった。40 代及び 50 代は同居する人からの感染が 33.7%と最も多く、次いで職場での感染が 18.0%であった。60 代は同居する人からの感染が 56.8%と最も多く、次いで会食での感染が 18.2%であった。70 代以上は同居する人からの感染が 43.3%と最も多く、次いで施設での感染が 35.0%であった。(7) また、7 月1日からこれまでの累計では、80 代以上の約 2/3 が施設内で感染している。(8) 少人数であっても、人と人が、密に接触する環境で、マスクを外して、会話をしながら飲食を行うと、感染のリスクが高まる。このような環境を避けることが新規陽性者の発生の減少につながる。(9) 今週は、シェアハウス、寮での感染が報告されており、集団生活の場では感染防止対策の徹底が重要である。(10) 特別養護老人ホーム、介護老人保健施設、デイケア施設、訪問看護、病院等、重症化リスクの高い施設において、無症状や症状の乏しい職員を発端とした感染が見られており、引き続き、医療・介護施設内と業務における感染防止対策の徹底と検査体制の拡充が必要である。(11) グループ旅行に陽性者が含まれていて同行者等に感染が広がる事例が複数発生しており、7月後半より増加傾向にあり、旅行中の感染、車中での感染などが報告されている。(12) 8 月 4 日から 8 月 10 日までの新規陽性者は 2,351 人で、保健所別届出数は世田谷区が 238 人(10.1%)と最も多く、次いで新宿区 215 人(9.1%)、港区 178 人(7.6%)、渋谷区 144 人(6.1%)、品川区 126 人(5.4%)の順であり、島しょを除く都内全域に広がって新規陽性者が発生している。"
6,2020-08-13,2,(1) #7119 は、感染拡大の早期予兆の指標の1つとして、モニタリングしている。第一波(3 月 1 日から 5 月 25 日の緊急事態宣言解除までと設定)では、患者の急速な増加の前に#7119 における発熱等の相談件数が増加した。(2) #7119 の 7 日間平均は 86.9 件と、先週と比べ増加した。
6,2020-08-13,3,(1) 国の指標及び目安における、感染経路不明な者の割合は 8 月 11 日時点で 62.2%となっており、国のステージIVの指標 50%を超える数値となっている。(ステージIVとは、爆発的な感染拡大及び深刻な医療提供体制の機能不全を避けるための対応が必要な段階)(2) 接触歴等不明者数は 7 日間平均で約 201 名と依然高水準であり、接触歴を調査する保健所への支援が引き続き必要である。(3) 8 月 11 日時点の新規陽性者における接触歴等不明者の増加比は、先週より減少し、約 96%となっているものの、今後の推移に注意が必要である。
6,2020-08-13,4,(1) 国の指標及び目安における、PCR 検査件数のうちの陽性者数の割合は、8 月 11 日時点で 6.6 %となっており、国のステージIIIの 10%よりも低い数値となっている。(2) PCR 検査の陽性率は、検査体制の指標としてモニタリングしている。迅速かつ広く PCR 検査等を実施することは、感染拡大防止と重症化予防の双方に効果的と考える。(3) 今週は、休日の影響を受けて、7 日間平均の検査数は減少しているが、陽性率は先週と比較して横ばいで推移している。(4) 陽性率が約 7%であることを踏まえると、十分な PCR 検査等を行うためには、引き続き検査体制の強化が求められる。
6,2020-08-13,5,(1) 東京ルールの適用件数は、8 月 7 日以降、急増し、8 月 11 日は 93 件となった。(2) 7 日間平均の件数も、先週に比べ増加し、63.6 件となった。(3) 第一波では、患者の急速な増加に伴い、東京ルールの適用件数も増加した。救急受入れ体制への負荷が懸念される。
