meeting_no,meeting_date,monitoring_index,line_number,token,part_of_speech,part_of_speech2,part_of_speech3,part_of_speech4,infl_type,base_form
1,2020-07-09,4,1,検査,名詞,サ変接続,,,,検査
1,2020-07-09,4,1,陽性,名詞,一般,,,,陽性
1,2020-07-09,4,1,連続,名詞,サ変接続,,,,連続
1,2020-07-09,4,1,増加,名詞,サ変接続,,,,増加
1,2020-07-09,4,2,検査,名詞,サ変接続,,,,検査
1,2020-07-09,4,2,前週,名詞,一般,,,,前週
1,2020-07-09,4,2,増加,名詞,サ変接続,,,,増加
1,2020-07-09,4,3,PCR,名詞,固有名詞,組織,,,PCR
1,2020-07-09,4,3,検査,名詞,サ変接続,,,,検査
1,2020-07-09,4,3,陽性,名詞,一般,,,,陽性
1,2020-07-09,4,3,検査,名詞,サ変接続,,,,検査
1,2020-07-09,4,3,体制,名詞,一般,,,,体制
1,2020-07-09,4,3,指標,名詞,一般,,,,指標
1,2020-07-09,4,3,モニタリング,名詞,一般,,,,モニタリング
1,2020-07-09,4,4,陽性,名詞,一般,,,,陽性
1,2020-07-09,4,4,上昇,名詞,サ変接続,,,,上昇
1,2020-07-09,4,4,検査,名詞,サ変接続,,,,検査
1,2020-07-09,4,4,減少,名詞,サ変接続,,,,減少
1,2020-07-09,4,4,検査,名詞,サ変接続,,,,検査
1,2020-07-09,4,4,スポット,名詞,一般,,,,スポット
1,2020-07-09,4,4,積極,名詞,形容動詞語幹,,,,積極
1,2020-07-09,4,4,疫学,名詞,一般,,,,疫学
1,2020-07-09,4,4,調査,名詞,サ変接続,,,,調査
1,2020-07-09,4,4,新規,名詞,一般,,,,新規
1,2020-07-09,4,4,陽性,名詞,一般,,,,陽性
1,2020-07-09,4,4,増加,名詞,サ変接続,,,,増加
1,2020-07-09,4,4,接触,名詞,サ変接続,,,,接触
1,2020-07-09,4,4,不明,名詞,形容動詞語幹,,,,不明
1,2020-07-09,4,4,患者,名詞,一般,,,,患者
1,2020-07-09,4,4,増加,名詞,サ変接続,,,,増加
1,2020-07-09,4,4,影響,名詞,サ変接続,,,,影響
1,2020-07-09,4,5,陽性,名詞,一般,,,,陽性
1,2020-07-09,4,5,増加,名詞,サ変接続,,,,増加
1,2020-07-09,4,5,検査,名詞,サ変接続,,,,検査
1,2020-07-09,4,5,体制,名詞,一般,,,,体制
1,2020-07-09,4,5,強化,名詞,サ変接続,,,,強化
1,2020-07-09,5,1,東京,名詞,固有名詞,地域,一般,,東京
1,2020-07-09,5,1,ルール,名詞,一般,,,,ルール
1,2020-07-09,5,1,適用,名詞,サ変接続,,,,適用
1,2020-07-09,5,1,件数,名詞,一般,,,,件数
1,2020-07-09,5,1,連続,名詞,サ変接続,,,,連続
1,2020-07-09,5,1,変動,名詞,サ変接続,,,,変動
1,2020-07-09,5,2,一波,名詞,一般,,,,一波
1,2020-07-09,5,2,月,名詞,一般,,,,月
1,2020-07-09,5,2,緊急,名詞,形容動詞語幹,,,,緊急
1,2020-07-09,5,2,事態,名詞,一般,,,,事態
1,2020-07-09,5,2,宣言,名詞,サ変接続,,,,宣言
1,2020-07-09,5,2,解除,名詞,サ変接続,,,,解除
1,2020-07-09,5,2,患者,名詞,一般,,,,患者
1,2020-07-09,5,2,急速,名詞,形容動詞語幹,,,,急速
1,2020-07-09,5,2,増加,名詞,サ変接続,,,,増加
1,2020-07-09,5,2,東京,名詞,固有名詞,地域,一般,,東京
1,2020-07-09,5,2,ルール,名詞,一般,,,,ルール
1,2020-07-09,5,2,適用,名詞,サ変接続,,,,適用
1,2020-07-09,5,2,件数,名詞,一般,,,,件数
1,2020-07-09,5,2,増加,名詞,サ変接続,,,,増加
1,2020-07-09,5,2,今後,名詞,副詞可能,,,,今後
1,2020-07-09,5,2,推移,名詞,サ変接続,,,,推移
1,2020-07-09,5,2,注視,名詞,サ変接続,,,,注視
1,2020-07-09,6,1,入院,名詞,サ変接続,,,,入院
1,2020-07-09,6,1,患者,名詞,一般,,,,患者
1,2020-07-09,6,1,連続,名詞,サ変接続,,,,連続
1,2020-07-09,6,1,増加,名詞,サ変接続,,,,増加
1,2020-07-09,6,1,今後,名詞,副詞可能,,,,今後
1,2020-07-09,6,1,患者,名詞,一般,,,,患者
1,2020-07-09,6,1,増加,名詞,サ変接続,,,,増加
1,2020-07-09,6,1,見込み,名詞,一般,,,,見込み
1,2020-07-09,6,1,レベル,名詞,一般,,,,レベル
1,2020-07-09,6,1,病床,名詞,一般,,,,病床
1,2020-07-09,6,1,確保,名詞,サ変接続,,,,確保
1,2020-07-09,6,1,必要,名詞,形容動詞語幹,,,,必要
1,2020-07-09,6,2,稼働,名詞,サ変接続,,,,稼働
1,2020-07-09,6,2,病床,名詞,一般,,,,病床
1,2020-07-09,6,2,準備,名詞,サ変接続,,,,準備
1,2020-07-09,6,2,人員,名詞,一般,,,,人員
1,2020-07-09,6,2,確保,名詞,サ変接続,,,,確保
1,2020-07-09,6,2,着手,名詞,サ変接続,,,,着手
1,2020-07-09,6,2,必要,名詞,形容動詞語幹,,,,必要
1,2020-07-09,6,3,現状,名詞,一般,,,,現状
1,2020-07-09,6,3,症状,名詞,一般,,,,症状
1,2020-07-09,6,3,陽性,名詞,一般,,,,陽性
1,2020-07-09,6,4,陽性,名詞,一般,,,,陽性
1,2020-07-09,6,4,対応,名詞,サ変接続,,,,対応
1,2020-07-09,6,4,継続,名詞,サ変接続,,,,継続
1,2020-07-09,6,4,宿泊,名詞,サ変接続,,,,宿泊
1,2020-07-09,6,4,療養,名詞,サ変接続,,,,療養
1,2020-07-09,6,4,施設,名詞,サ変接続,,,,施設
1,2020-07-09,6,4,確保,名詞,サ変接続,,,,確保
1,2020-07-09,6,4,必要,名詞,形容動詞語幹,,,,必要
1,2020-07-09,7,1,重症,名詞,一般,,,,重症
1,2020-07-09,7,1,数,名詞,一般,,,,数
1,2020-07-09,7,1,横ばい,名詞,サ変接続,,,,横ばい
1,2020-07-09,7,1,推移,名詞,サ変接続,,,,推移
1,2020-07-09,7,1,中等,名詞,一般,,,,中等
1,2020-07-09,7,1,患者,名詞,一般,,,,患者
1,2020-07-09,7,1,重症,名詞,一般,,,,重症
1,2020-07-09,7,1,リスク,名詞,一般,,,,リスク
1,2020-07-09,7,1,年齢,名詞,一般,,,,年齢
1,2020-07-09,7,1,患者,名詞,一般,,,,患者
1,2020-07-09,7,1,入院,名詞,サ変接続,,,,入院
1,2020-07-09,7,2,重症,名詞,一般,,,,重症
1,2020-07-09,7,2,患者,名詞,一般,,,,患者
1,2020-07-09,7,2,増加,名詞,サ変接続,,,,増加
1,2020-07-09,7,2,新型,名詞,一般,,,,新型
1,2020-07-09,7,2,コロナ,名詞,一般,,,,コロナ
1,2020-07-09,7,2,ウイルス,名詞,一般,,,,ウイルス
1,2020-07-09,7,2,感染,名詞,サ変接続,,,,感染
1,2020-07-09,7,2,患者,名詞,一般,,,,患者
1,2020-07-09,7,2,医療,名詞,一般,,,,医療
1,2020-07-09,7,2,通常,名詞,一般,,,,通常
1,2020-07-09,7,2,医療,名詞,一般,,,,医療
1,2020-07-09,7,2,体制,名詞,一般,,,,体制
1,2020-07-09,7,2,圧迫,名詞,サ変接続,,,,圧迫
1,2020-07-09,7,3,重症,名詞,一般,,,,重症
1,2020-07-09,7,3,患者,名詞,一般,,,,患者
1,2020-07-09,7,3,対応,名詞,サ変接続,,,,対応
1,2020-07-09,7,3,強化,名詞,サ変接続,,,,強化
1,2020-07-09,7,3,準備,名詞,サ変接続,,,,準備
1,2020-07-09,7,3,必要,名詞,形容動詞語幹,,,,必要
2,2020-07-15,1,1,新規,名詞,一般,,,,新規
2,2020-07-15,1,1,陽性,名詞,一般,,,,陽性
2,2020-07-15,1,1,先週,名詞,副詞可能,,,,先週
2,2020-07-15,1,1,増加,名詞,サ変接続,,,,増加
2,2020-07-15,1,1,緊急,名詞,形容動詞語幹,,,,緊急
2,2020-07-15,1,1,事態,名詞,一般,,,,事態
2,2020-07-15,1,1,宣言,名詞,サ変接続,,,,宣言
2,2020-07-15,1,1,最大,名詞,一般,,,,最大
2,2020-07-15,1,2,厚生,名詞,一般,,,,厚生
2,2020-07-15,1,2,労働省,名詞,固有名詞,組織,,,労働省
2,2020-07-15,1,2,新た,名詞,形容動詞語幹,,,,新た
2,2020-07-15,1,2,患者,名詞,一般,,,,患者
2,2020-07-15,1,2,推計,名詞,サ変接続,,,,推計
2,2020-07-15,1,2,医療,名詞,一般,,,,医療
2,2020-07-15,1,2,提供,名詞,サ変接続,,,,提供
2,2020-07-15,1,2,体制,名詞,一般,,,,体制
2,2020-07-15,1,2,構築,名詞,サ変接続,,,,構築
2,2020-07-15,1,2,感染,名詞,サ変接続,,,,感染
2,2020-07-15,1,2,拡大,名詞,サ変接続,,,,拡大
2,2020-07-15,1,2,防止,名詞,サ変接続,,,,防止
2,2020-07-15,1,2,社会,名詞,一般,,,,社会
2,2020-07-15,1,2,協力,名詞,サ変接続,,,,協力
2,2020-07-15,1,2,要請,名詞,サ変接続,,,,要請
2,2020-07-15,1,2,自粛,名詞,サ変接続,,,,自粛
2,2020-07-15,1,2,要請,名詞,サ変接続,,,,要請
2,2020-07-15,1,2,必要,名詞,形容動詞語幹,,,,必要
2,2020-07-15,1,2,患者,名詞,一般,,,,患者
2,2020-07-15,1,2,人口,名詞,一般,,,,人口
2,2020-07-15,1,2,東京,名詞,固有名詞,地域,一般,,東京
2,2020-07-15,1,2,換算,名詞,サ変接続,,,,換算
2,2020-07-15,1,3,一波,名詞,一般,,,,一波
2,2020-07-15,1,3,月,名詞,一般,,,,月
2,2020-07-15,1,3,緊急,名詞,形容動詞語幹,,,,緊急
2,2020-07-15,1,3,事態,名詞,一般,,,,事態
2,2020-07-15,1,3,宣言,名詞,サ変接続,,,,宣言
2,2020-07-15,1,3,解除,名詞,サ変接続,,,,解除
2,2020-07-15,1,3,年齢,名詞,一般,,,,年齢
2,2020-07-15,1,3,構成,名詞,サ変接続,,,,構成
2,2020-07-15,1,4,月,名詞,一般,,,,月
2,2020-07-15,1,4,報告,名詞,サ変接続,,,,報告
2,2020-07-15,1,5,全体,名詞,副詞可能,,,,全体
2,2020-07-15,1,5,ほか,名詞,副詞可能,,,,ほか
2,2020-07-15,1,5,増加,名詞,サ変接続,,,,増加
2,2020-07-15,1,5,等,名詞,固有名詞,人名,名,,等
2,2020-07-15,1,5,年齢,名詞,一般,,,,年齢
2,2020-07-15,1,5,幅,名詞,一般,,,,幅
2,2020-07-15,1,6,感染,名詞,サ変接続,,,,感染
2,2020-07-15,1,6,経路,名詞,一般,,,,経路
2,2020-07-15,1,6,接待,名詞,サ変接続,,,,接待
2,2020-07-15,1,6,飲食,名詞,サ変接続,,,,飲食
2,2020-07-15,1,6,施設,名詞,サ変接続,,,,施設
2,2020-07-15,1,6,感染,名詞,サ変接続,,,,感染
2,2020-07-15,1,6,同居,名詞,サ変接続,,,,同居
2,2020-07-15,1,6,職場,名詞,一般,,,,職場
2,2020-07-15,1,6,会食,名詞,サ変接続,,,,会食
2,2020-07-15,1,6,劇場,名詞,一般,,,,劇場
2,2020-07-15,1,6,多岐,名詞,一般,,,,多岐
2,2020-07-15,1,7,高齢,名詞,一般,,,,高齢
2,2020-07-15,1,7,家族,名詞,一般,,,,家族
2,2020-07-15,1,7,感染,名詞,サ変接続,,,,感染
2,2020-07-15,1,8,地域,名詞,一般,,,,地域
2,2020-07-15,1,8,新宿,名詞,固有名詞,地域,一般,,新宿
2,2020-07-15,1,8,中野,名詞,固有名詞,地域,一般,,中野
2,2020-07-15,1,8,世田谷,名詞,固有名詞,地域,一般,,世田谷
2,2020-07-15,1,8,港,名詞,固有名詞,地域,一般,,港
2,2020-07-15,1,8,豊島,名詞,固有名詞,地域,一般,,豊島
2,2020-07-15,1,8,ほか,名詞,副詞可能,,,,ほか
2,2020-07-15,1,8,隣接,名詞,サ変接続,,,,隣接
2,2020-07-15,1,8,板橋,名詞,固有名詞,地域,一般,,板橋
2,2020-07-15,1,8,杉並,名詞,固有名詞,地域,一般,,杉並
2,2020-07-15,1,8,練馬,名詞,固有名詞,地域,一般,,練馬
2,2020-07-15,1,8,渋谷,名詞,固有名詞,地域,一般,,渋谷
2,2020-07-15,1,9,新規,名詞,一般,,,,新規
2,2020-07-15,1,9,陽性,名詞,一般,,,,陽性
2,2020-07-15,1,9,都内,名詞,一般,,,,都内
2,2020-07-15,1,9,全域,名詞,一般,,,,全域
2,2020-07-15,1,9,発生,名詞,サ変接続,,,,発生
2,2020-07-15,1,10,介護,名詞,サ変接続,,,,介護
2,2020-07-15,1,10,老人,名詞,一般,,,,老人
2,2020-07-15,1,10,保健,名詞,一般,,,,保健
2,2020-07-15,1,10,施設,名詞,サ変接続,,,,施設
2,2020-07-15,1,10,デイケア,名詞,一般,,,,デイケア
2,2020-07-15,1,10,施設,名詞,サ変接続,,,,施設
2,2020-07-15,1,10,幼稚園,名詞,一般,,,,幼稚園
2,2020-07-15,1,10,保育園,名詞,一般,,,,保育園
2,2020-07-15,1,10,感染,名詞,サ変接続,,,,感染
2,2020-07-15,1,10,施設,名詞,サ変接続,,,,施設
2,2020-07-15,1,10,感染,名詞,サ変接続,,,,感染
2,2020-07-15,1,10,防止,名詞,サ変接続,,,,防止
2,2020-07-15,1,10,対策,名詞,サ変接続,,,,対策
2,2020-07-15,1,10,徹底,名詞,サ変接続,,,,徹底
2,2020-07-15,1,10,必要,名詞,形容動詞語幹,,,,必要
2,2020-07-15,2,1,感染,名詞,サ変接続,,,,感染
2,2020-07-15,2,1,拡大,名詞,サ変接続,,,,拡大
2,2020-07-15,2,1,早期,名詞,一般,,,,早期
2,2020-07-15,2,1,予兆,名詞,一般,,,,予兆
2,2020-07-15,2,1,指標,名詞,一般,,,,指標
2,2020-07-15,2,1,モニタリング,名詞,一般,,,,モニタリング
2,2020-07-15,2,2,一波,名詞,一般,,,,一波
2,2020-07-15,2,2,月,名詞,一般,,,,月
2,2020-07-15,2,2,緊急,名詞,形容動詞語幹,,,,緊急
2,2020-07-15,2,2,事態,名詞,一般,,,,事態
2,2020-07-15,2,2,宣言,名詞,サ変接続,,,,宣言
2,2020-07-15,2,2,解除,名詞,サ変接続,,,,解除
2,2020-07-15,2,2,患者,名詞,一般,,,,患者
2,2020-07-15,2,2,急速,名詞,形容動詞語幹,,,,急速
2,2020-07-15,2,2,増加,名詞,サ変接続,,,,増加
2,2020-07-15,2,2,前,名詞,副詞可能,,,,前
2,2020-07-15,2,2,発熱,名詞,サ変接続,,,,発熱
2,2020-07-15,2,2,相談,名詞,サ変接続,,,,相談
2,2020-07-15,2,2,件数,名詞,一般,,,,件数
2,2020-07-15,2,2,増加,名詞,サ変接続,,,,増加
2,2020-07-15,2,3,連続,名詞,サ変接続,,,,連続
2,2020-07-15,2,3,平均,名詞,サ変接続,,,,平均
2,2020-07-15,2,3,増加,名詞,サ変接続,,,,増加
2,2020-07-15,3,1,接触,名詞,サ変接続,,,,接触
2,2020-07-15,3,1,不明,名詞,形容動詞語幹,,,,不明
2,2020-07-15,3,1,平均,名詞,サ変接続,,,,平均
2,2020-07-15,3,1,先週,名詞,副詞可能,,,,先週
2,2020-07-15,3,2,月,名詞,一般,,,,月
2,2020-07-15,3,2,時点,名詞,一般,,,,時点
2,2020-07-15,3,2,新規,名詞,一般,,,,新規
2,2020-07-15,3,2,陽性,名詞,一般,,,,陽性
2,2020-07-15,3,2,接触,名詞,サ変接続,,,,接触
2,2020-07-15,3,2,不明,名詞,形容動詞語幹,,,,不明
2,2020-07-15,3,2,増加,名詞,サ変接続,,,,増加
2,2020-07-15,3,2,加速,名詞,サ変接続,,,,加速
2,2020-07-15,3,2,継続,名詞,サ変接続,,,,継続
2,2020-07-15,3,2,接触,名詞,サ変接続,,,,接触
2,2020-07-15,3,2,不明,名詞,形容動詞語幹,,,,不明
2,2020-07-15,3,2,新規,名詞,一般,,,,新規
2,2020-07-15,3,2,陽性,名詞,一般,,,,陽性
2,2020-07-15,3,2,発生,名詞,サ変接続,,,,発生
2,2020-07-15,3,3,継続,名詞,サ変接続,,,,継続
2,2020-07-15,3,3,接触,名詞,サ変接続,,,,接触
2,2020-07-15,3,3,不明,名詞,形容動詞語幹,,,,不明
2,2020-07-15,3,3,新規,名詞,一般,,,,新規
2,2020-07-15,3,3,陽性,名詞,一般,,,,陽性
2,2020-07-15,3,3,現在,名詞,副詞可能,,,,現在
2,2020-07-15,4,1,検査,名詞,サ変接続,,,,検査
2,2020-07-15,4,1,陽性,名詞,一般,,,,陽性
2,2020-07-15,4,1,連続,名詞,サ変接続,,,,連続
2,2020-07-15,4,1,増加,名詞,サ変接続,,,,増加
2,2020-07-15,4,2,検査,名詞,サ変接続,,,,検査
2,2020-07-15,4,2,前週,名詞,一般,,,,前週
2,2020-07-15,4,2,増加,名詞,サ変接続,,,,増加
2,2020-07-15,4,3,PCR,名詞,固有名詞,組織,,,PCR
2,2020-07-15,4,3,検査,名詞,サ変接続,,,,検査
2,2020-07-15,4,3,陽性,名詞,一般,,,,陽性
2,2020-07-15,4,3,検査,名詞,サ変接続,,,,検査
2,2020-07-15,4,3,体制,名詞,一般,,,,体制
2,2020-07-15,4,3,指標,名詞,一般,,,,指標
2,2020-07-15,4,3,モニタリング,名詞,一般,,,,モニタリング
2,2020-07-15,4,4,検査,名詞,サ変接続,,,,検査
2,2020-07-15,4,4,増加,名詞,サ変接続,,,,増加
2,2020-07-15,4,4,陽性,名詞,一般,,,,陽性
2,2020-07-15,4,4,上昇,名詞,サ変接続,,,,上昇
2,2020-07-15,4,4,新規,名詞,一般,,,,新規
2,2020-07-15,4,4,陽性,名詞,一般,,,,陽性
2,2020-07-15,4,4,増加,名詞,サ変接続,,,,増加
2,2020-07-15,4,4,陽性,名詞,一般,,,,陽性
2,2020-07-15,4,4,特定,名詞,サ変接続,,,,特定
2,2020-07-15,4,4,地域,名詞,一般,,,,地域
2,2020-07-15,4,4,対象,名詞,一般,,,,対象
2,2020-07-15,4,4,PCR,名詞,一般,,,,PCR
2,2020-07-15,4,4,検査,名詞,サ変接続,,,,検査
2,2020-07-15,4,4,受診,名詞,サ変接続,,,,受診
2,2020-07-15,4,4,積極,名詞,形容動詞語幹,,,,積極
2,2020-07-15,4,4,影響,名詞,サ変接続,,,,影響
2,2020-07-15,4,5,陽性,名詞,一般,,,,陽性
2,2020-07-15,4,5,増加,名詞,サ変接続,,,,増加
2,2020-07-15,4,5,検査,名詞,サ変接続,,,,検査
2,2020-07-15,4,5,体制,名詞,一般,,,,体制
2,2020-07-15,4,5,強化,名詞,サ変接続,,,,強化
2,2020-07-15,5,1,東京,名詞,固有名詞,地域,一般,,東京
2,2020-07-15,5,1,ルール,名詞,一般,,,,ルール
2,2020-07-15,5,1,適用,名詞,サ変接続,,,,適用
2,2020-07-15,5,1,件数,名詞,一般,,,,件数
2,2020-07-15,5,1,当初,名詞,副詞可能,,,,当初
2,2020-07-15,5,1,推移,名詞,サ変接続,,,,推移
2,2020-07-15,5,1,先週,名詞,副詞可能,,,,先週
2,2020-07-15,5,1,後半,名詞,副詞可能,,,,後半
2,2020-07-15,5,1,増加,名詞,サ変接続,,,,増加
2,2020-07-15,5,1,傾向,名詞,一般,,,,傾向
2,2020-07-15,5,2,今後,名詞,副詞可能,,,,今後
2,2020-07-15,5,2,推移,名詞,サ変接続,,,,推移
2,2020-07-15,5,2,注視,名詞,サ変接続,,,,注視
2,2020-07-15,5,3,一波,名詞,一般,,,,一波
2,2020-07-15,5,3,月,名詞,一般,,,,月
2,2020-07-15,5,3,緊急,名詞,形容動詞語幹,,,,緊急
2,2020-07-15,5,3,事態,名詞,一般,,,,事態
2,2020-07-15,5,3,宣言,名詞,サ変接続,,,,宣言
2,2020-07-15,5,3,解除,名詞,サ変接続,,,,解除
2,2020-07-15,5,3,疑い,名詞,一般,,,,疑い
2,2020-07-15,5,3,患者,名詞,一般,,,,患者
2,2020-07-15,5,3,東京,名詞,固有名詞,地域,一般,,東京
2,2020-07-15,5,3,ルール,名詞,一般,,,,ルール
2,2020-07-15,5,3,適用,名詞,サ変接続,,,,適用
2,2020-07-15,5,3,件数,名詞,一般,,,,件数
2,2020-07-15,5,3,増加,名詞,サ変接続,,,,増加
